"site","year","b0","b1","b2","mu","fp","ofs","N","tenperc","h","badfit"
"WC_Main","1993",-176.462818500717,2.47986537839792,-0.00843128492479287,147.063312443972,19.7380479797171,52.8427600505327,6946.94984653738,137.194288454113,6946.94984653738,FALSE
"WC_Main","1994",-127.876760066302,1.90845451827849,-0.0068377250844673,139.553323269297,21.9177144981582,55.6229195484191,4246.45645986248,128.594466020217,4246.45645986248,FALSE
"WC_Main","1995",-247.603169614118,3.45505805684374,-0.0117587751294785,146.914028833757,16.7136014082262,45.9063124556525,8014.61933888108,138.557228129644,8014.61933888108,FALSE
"WC_Main","1996",-115.032220523305,1.60617729099513,-0.00536140314481579,149.790758837845,24.7520886022551,62.6626819996077,4673.51536106731,137.414714536718,4673.51536106731,FALSE
"WC_Main","1997",-256.1009070096,3.6798835727438,-0.0128813153557363,142.838035989278,15.9687520301006,45.6562861820907,12850.2398189826,134.853659974228,12850.2398189826,FALSE
"WC_Main","1998",-312.251429567088,4.10670728320897,-0.0132557208630877,154.90320464746,15.7416194140438,41.9059798466066,5185.6877968798,147.032394940439,5185.6877968798,FALSE
"WC_Main","1999",-367.334236696811,4.73571551104343,-0.0149889429508912,157.973631848464,14.8035399484041,42.3629191167604,12057.45994072,150.571861874262,12057.45994072,FALSE
"WC_Main","2000",-196.192192640393,2.69250501912815,-0.00894795661968723,150.453624976462,19.1597195740478,53.3056082757104,10795.7470275829,140.873765189439,10795.7470275829,FALSE
"WC_Main","2001",-197.784925756941,2.70922024086373,-0.00903009970639242,150.010538584965,19.07237646216,49.0024888144416,4216.78749314939,140.474350353885,4216.78749314939,FALSE
"WC_Main","2002",-142.929371717216,2.00270058291113,-0.00672792632207289,148.834907446942,22.0958376327526,60.2539863358216,9697.42174932028,137.786988630566,9697.42174932028,FALSE
"WC_Main","2003",-230.195545247851,3.10568924008193,-0.0102063156209507,152.145463427901,17.9397582418071,48.7449042776171,7536.08675766503,143.175584306997,7536.08675766503,FALSE
"WC_Main","2004",-191.885848174679,2.84404040034083,-0.0102229131694561,139.101269530402,17.9251891577647,48.1244321194113,6521.72215516621,130.13867495152,6521.72215516621,FALSE
"WC_Main","2005",-182.449444000355,2.58060286439332,-0.00891669769035456,144.706199201125,19.1932739437799,43.741759957743,1336.02200801761,135.109562229235,1336.02200801761,FALSE
"WC_Main","2006",-141.303078920471,2.01146258139315,-0.00692435559714658,145.245471089183,21.7801768568454,52.5193754037376,2523.88906771541,134.35538266076,2523.88906771541,FALSE
"WC_Main","2007",-211.122102806316,3.04115400892554,-0.0106838103693924,142.325345723003,17.5342824401739,44.5226734248006,3416.67406643097,133.558204502916,3416.67406643097,FALSE
"WC_Main","2008",-374.878449045949,5.21232806028,-0.0179290520909059,145.359833689251,13.5354412703945,29.6976019456916,689.627995343483,138.592113054054,689.627995343483,FALSE
"WC_Main","2009",-184.779310767069,2.53707443822874,-0.00846965266589418,149.774408603856,19.6932903051889,49.628203911148,3544.31024941601,139.927763451261,3544.31024941601,FALSE
"WC_Main","2010",-94.7407691110833,1.39163699107627,-0.00482524846280901,144.203661407534,26.0910311203496,68.1267780429344,6892.00338529045,131.158145847359,6892.00338529045,FALSE
"WC_Main","2011",-212.105516979853,2.64721008548915,-0.00807289410984494,163.956695670074,20.1714192186218,49.3156766486594,2671.45557316214,153.870986060763,2671.45557316214,FALSE
"WC_Main","2012",-224.081546931625,3.09429244517078,-0.0103688798589078,149.210545752081,17.7985720957209,51.100583575364,15151.0237294377,140.31125970422,15151.0237294377,FALSE
"WC_Main","2013",-153.353848414981,2.35112976617983,-0.0086138230262257,136.474232116307,19.5277906679927,57.3406951331636,22697.8337469564,126.71033678231,22697.8337469564,FALSE
"WC_Main","2014",-169.244831274123,2.57191301440094,-0.00940554213033435,136.723273297885,18.6878425660317,52.8807459740904,13107.5639001866,127.379352014869,13107.5639001866,FALSE
"WC_Main","2015",-146.167548330572,2.17288117813314,-0.00776321395748506,139.9472686205,20.5698111977059,55.0276951075945,7175.22214441482,129.662363021647,7175.22214441482,FALSE
"WC_Main","2016",-195.823892232491,2.93840655183999,-0.0107199096894394,137.053699003394,17.50473417541,45.4492416458913,4341.7923994801,128.301331915689,4341.7923994801,FALSE
"WC_Main","2017",-188.171640855766,2.57266749483267,-0.00852944698474547,150.810920065144,19.6241405761186,52.25024351601,6477.01750325939,140.998849777085,6477.01750325939,FALSE
"WC_Main","2018",-308.504705073173,4.44191020539819,-0.0156720647540696,141.714262769516,14.477313355249,39.8961265592586,7234.47177125233,134.475606091892,7234.47177125233,FALSE
"WC_Main","2019",-218.922634152699,3.19901522634022,-0.0113826304801542,140.521790280276,16.9875115352074,45.3135489695601,5728.66342660681,132.028034512672,5728.66342660681,FALSE
"WC_North","1993",-198.597859821374,2.67913098143679,-0.0088769371011971,150.904019646343,19.2362101075308,39.9841268895015,653.584351822333,141.285914592577,653.584351822333,FALSE
"WC_North","1994",-353.621604261422,5.11968098444881,-0.0183629952160548,139.402121609569,13.3745544382982,26.5071421527605,329.199899708897,132.71484439042,329.199899708897,FALSE
"WC_North","1995",-355.421332986505,4.81389437694891,-0.0161192610415893,149.321186763108,14.2750789581139,31.4538554597701,752.283168988211,142.183647284051,752.283168988211,FALSE
"WC_North","1996",-114.345854453418,1.47243272783407,-0.0046584000518931,158.040605297058,26.5541676199152,41.5050995015133,193.085266311956,144.763521487101,193.085266311956,FALSE
"WC_North","1997",-179.007945308557,2.51702242801223,-0.0087075314876272,144.531342297685,19.4224296259532,36.413166832507,340.535085415929,134.820127484708,340.535085415929,FALSE
