"scenario","year","b0","b1","b2","mu","fp","N","tenperc","h","ofs","badfit"
"WC_North base",2006,-327.173149651437,4.69466597858864,-0.0166168964272855,141.261817425781,14.0597023592348,1137.29405604713,134.231966246164,82.7128126895873,32.6015923531621,FALSE
"WC_North base",2007,-302.26200328551,4.16559086209736,-0.0141712585624604,146.973214966665,15.224634396315,701.886690693715,139.360897768507,47.1407276627788,32.9786617906776,FALSE
"WC_North base",2008,-115.891532594656,1.55662530515606,-0.00510750474354635,152.38608511553,25.3598507927614,373.669838130961,139.706159719149,15.0666776566449,46.0902773149034,FALSE
"WC_North base",2009,-208.929784160087,2.84143112357171,-0.00945500508935235,150.260687155608,18.6388966334343,1721.3822292721,140.941238838891,94.4350603792447,43.8636894317021,FALSE
"WC_North base",2010,-104.32071545691,1.46584948899083,-0.00496778973568478,147.535379613724,25.7139905770669,1137.25190657596,134.678384325191,45.2234135000515,55.3991247825066,FALSE
"WC_North base",2011,-129.616341757182,1.61887224121857,-0.0049978778671351,161.95596253601,25.6364722883155,109.771414323371,149.137726391852,4.37831640252508,34.3777982911043,FALSE
"WC_North base",2014,-233.748010968227,3.49523680516945,-0.0128062601252212,136.465945990187,16.0154786846756,1796.62123980533,128.45820664785,114.707747813406,38.4872922770773,FALSE
"WC_North base",2015,-126.136480600111,1.89682705576013,-0.00687580486501406,137.934910384942,21.8569375733322,2310.20744917336,127.006441598276,108.078128312754,52.1943568518365,FALSE
"WC_North base",2016,-199.995660541551,3.02260257678137,-0.0111585613064918,135.438722509097,17.1572224227742,1832.05643542841,126.86011129771,109.186265810586,41.0160400853459,FALSE
"WC_North base",2017,-264.09875097876,3.57295621628482,-0.0118781137860671,150.400824602129,16.6294292091563,1600.26326828282,142.086109997551,98.3988994465467,39.3112347852608,FALSE
"WC_North base",2018,-258.963776500596,3.78962661286787,-0.0136071971777572,139.250815702977,15.5369849228419,2021.23740402091,131.482323241556,133.022997284024,37.9160656196886,FALSE
"WC_North base",2019,-170.765400629719,2.52397633671882,-0.00906968787276132,139.143505935799,19.0307065534097,2335.1495672055,129.628152659094,125.468855610429,46.1636218378091,FALSE
"WC_Bailey base",1993,-129.304575887617,1.76940262296092,-0.00590787988585799,149.749373476298,23.5795360032521,553.903390303779,137.959605474672,24.0201057744579,46.3929512397833,FALSE
"WC_Bailey base",1994,-95.4653056818711,1.35997477750249,-0.00469154359524269,144.938947053751,26.4602050387292,569.473477035527,131.708844534387,22.0067770481427,51.3388621012021,FALSE
"WC_Bailey base",1995,-215.053878664517,2.98051884342404,-0.0101234614429329,147.20848497451,18.013021474627,1331.10910138182,138.201974237197,75.5619632304072,41.3386392209231,FALSE
"WC_Bailey base",1996,-142.752164797077,1.96109676103525,-0.00655336542721151,149.625164567521,22.3881851829736,1151.47755259655,138.431071976034,52.5911578703237,49.1796089450021,FALSE
"WC_Bailey base",1997,-122.215903118458,1.71782323501899,-0.00589007548163216,145.823533193753,23.6151469911556,479.734019345662,134.015959698175,20.7723681237252,45.3889792528461,FALSE
"WC_Bailey base",1998,-275.903516635152,3.59156795771812,-0.0115716914062024,155.187683098472,16.8481671175134,265.602309247249,146.763599539716,16.119639758504,30.9996628517101,FALSE
"WC_Bailey base",1999,-322.779687721968,4.16520932636448,-0.0132718902130098,156.918466756209,15.7320273619391,856.506002530269,149.05245307524,55.6700824877268,34.8053925507604,FALSE
"WC_Bailey base",2000,-215.308196018324,2.87203010940461,-0.00938603843183444,152.994798085612,18.7072486713051,1482.17850925567,143.641173749959,81.0152431296776,43.2763227976619,FALSE
"WC_Bailey base",2001,-163.793630943259,2.2597774115993,-0.00765142089312031,147.670442076396,20.7195365545707,431.095928640731,137.310673799111,21.2750226545331,39.9801646610233,FALSE
"WC_Bailey base",2002,-150.202240050791,2.12837324717547,-0.00726750059473196,146.430895975315,21.2597691953437,5779.64239791172,135.801011377643,277.983212758338,55.6541498102234,FALSE
"WC_Bailey base",2003,-165.82294617003,2.30030531876929,-0.007748258451048,148.440151635505,20.5896533107963,2720.02819314226,138.145324980106,135.082944436842,50.3253501054305,FALSE
"WC_Bailey base",2004,-159.628001457143,2.34970617236224,-0.00837039918912722,140.358071298105,19.8097045438765,3774.4259057691,130.453219026167,194.826959586236,50.1937005374014,FALSE
"WC_Bailey base",2005,-254.268019847827,3.42476547967879,-0.0114110998475947,150.062900396086,16.9663073683276,246.176802422106,141.579746711922,14.8366531105331,30.7478548493615,FALSE
"WC_Bailey base",2006,-123.622043972101,1.79880994348254,-0.00629376218453223,142.904187570302,22.8452502104894,3020.43423653228,131.481562465058,135.191570227427,55.8430674519802,FALSE
